               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,            0.091259,            0.064802,            0.012964,             0.69757,             0.38784,             0.25194,             0.11083,            0.090135,             0.05191,            0.011323,            0.042436,            0.002436,            0.002436
                  61,            0.090552,             0.05221,            0.013493,             0.69757,             0.38784,             0.25194,             0.11083,            0.090135,             0.05191,            0.011323,            0.041416,           0.0024162,           0.0024162
                  62,             0.08925,            0.043822,            0.016235,             0.68679,             0.39808,             0.23072,            0.088417,            0.086495,            0.051034,             0.01066,            0.040394,           0.0023944,           0.0023944
                  63,            0.083611,            0.047145,            0.014453,             0.68679,             0.39808,             0.23072,            0.088417,            0.086495,            0.051034,             0.01066,            0.039371,           0.0023707,           0.0023707
                  64,            0.087009,            0.055392,            0.013563,             0.69683,             0.41111,             0.26949,             0.13372,            0.089543,            0.051786,            0.010355,            0.038345,            0.002345,            0.002345
                  65,            0.091226,            0.054978,            0.014126,             0.69683,             0.41111,             0.26949,             0.13372,            0.089543,            0.051786,            0.010355,            0.037317,           0.0023172,           0.0023172
                  66,            0.085318,            0.063522,            0.011045,             0.69088,             0.37778,             0.25669,             0.12903,            0.089213,            0.050283,            0.009986,            0.036288,           0.0022876,           0.0022876
                  67,            0.081933,            0.054742,            0.013311,             0.69088,             0.37778,             0.25669,             0.12903,            0.089213,            0.050283,            0.009986,            0.035256,           0.0022559,           0.0022559
                  68,            0.082598,            0.047941,            0.013208,             0.69285,              0.3537,              0.3949,             0.19694,            0.086008,            0.047734,           0.0097844,            0.034222,           0.0022222,           0.0022222
                  69,            0.083109,            0.050038,            0.011806,             0.69285,              0.3537,              0.3949,             0.19694,            0.086008,            0.047734,           0.0097844,            0.033187,           0.0021866,           0.0021866
                  70,            0.085037,            0.055417,            0.012302,             0.69957,             0.37593,             0.28346,             0.12646,            0.088639,            0.046761,            0.009691,            0.032149,            0.002149,            0.002149
                  71,            0.079737,            0.047676,            0.012188,             0.69957,             0.37593,             0.28346,             0.12646,            0.088639,            0.046761,            0.009691,            0.031109,           0.0021094,           0.0021094
                  72,            0.082978,            0.053556,            0.013542,             0.55165,             0.62672,             0.41496,             0.16319,             0.08511,            0.047498,           0.0096799,            0.030068,           0.0020678,           0.0020678
                  73,            0.083714,            0.052017,            0.011714,             0.55165,             0.62672,             0.41496,             0.16319,             0.08511,            0.047498,           0.0096799,            0.029024,           0.0020243,           0.0020243
                  74,             0.08201,            0.048154,            0.011896,             0.68124,             0.40366,             0.29219,             0.12149,            0.083388,            0.046666,           0.0092085,            0.027979,           0.0019788,           0.0019788
                  75,            0.078356,            0.040448,            0.015603,             0.68124,             0.40366,             0.29219,             0.12149,            0.083388,            0.046666,           0.0092085,            0.026931,           0.0019313,           0.0019313
                  76,             0.08048,            0.039985,            0.011833,             0.69152,             0.36296,             0.31488,             0.09674,            0.083925,            0.045313,           0.0086934,            0.025882,           0.0018818,           0.0018818
                  77,            0.077167,            0.045336,           0.0095431,             0.69152,             0.36296,             0.31488,             0.09674,            0.083925,            0.045313,           0.0086934,             0.02483,           0.0018303,           0.0018303
                  78,            0.075123,               0.047,            0.011747,             0.70277,             0.37593,             0.34059,             0.14063,            0.083205,            0.045345,           0.0085858,            0.023777,           0.0017768,           0.0017768
                  79,            0.077094,            0.047945,            0.010684,             0.70277,             0.37593,             0.34059,             0.14063,            0.083205,            0.045345,           0.0085858,            0.022721,           0.0017214,           0.0017214
                  80,             0.07816,             0.04368,            0.013481,             0.67711,             0.33557,             0.36397,             0.15391,            0.079439,            0.045758,           0.0083854,            0.021664,            0.001664,            0.001664
                  81,            0.076297,            0.044953,            0.012174,             0.67711,             0.33557,             0.36397,             0.15391,            0.079439,            0.045758,           0.0083854,            0.020605,           0.0016046,           0.0016046
                  82,            0.072451,            0.043056,             0.01075,             0.68038,             0.35171,             0.34935,             0.16592,            0.079753,            0.046314,           0.0083121,            0.019543,           0.0015432,           0.0015432
                  83,            0.074909,            0.044017,            0.011887,             0.68038,             0.35171,             0.34935,             0.16592,            0.079753,            0.046314,           0.0083121,             0.01848,           0.0014799,           0.0014799
                  84,            0.076856,            0.044232,            0.013455,             0.69992,             0.35556,             0.35098,             0.16779,            0.076425,            0.046492,            0.008171,            0.017415,           0.0014146,           0.0014146
                  85,             0.07328,            0.050128,            0.011276,             0.69992,             0.35556,             0.35098,             0.16779,            0.076425,            0.046492,            0.008171,            0.016347,           0.0013473,           0.0013473
                  86,            0.077098,            0.045764,             0.01408,             0.69992,             0.35556,             0.35098,             0.16779,            0.076425,            0.046492,            0.008171,            0.015278,            0.001278,            0.001278
                  87,            0.072677,            0.040895,            0.015565,             0.67663,             0.31608,              0.3086,             0.14478,            0.079283,            0.046552,            0.008187,            0.014207,           0.0012067,           0.0012067
                  88,            0.073068,            0.051883,            0.010059,             0.67663,             0.31608,              0.3086,             0.14478,            0.079283,            0.046552,            0.008187,            0.013133,           0.0011334,           0.0011334
