               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,            0.070223,            0.042166,            0.025778,             0.45784,             0.43507,             0.46178,             0.15123,            0.070555,            0.037805,            0.025521,            0.055513,           0.0025131,           0.0025131
                  48,            0.066315,            0.052964,            0.025893,             0.46637,             0.60953,             0.49527,             0.15961,            0.057933,            0.038102,            0.025545,            0.054519,            0.002519,            0.002519
                  49,            0.060978,            0.038711,            0.025683,             0.46637,             0.60953,             0.49527,             0.15961,            0.057933,            0.038102,            0.025545,            0.053523,            0.002523,            0.002523
                  50,             0.06555,            0.041944,             0.02558,              0.4365,                0.64,             0.50156,              0.1781,            0.070352,            0.034168,            0.025533,            0.052525,            0.002525,            0.002525
                  51,            0.062912,            0.037025,            0.025878,              0.4365,                0.64,             0.50156,              0.1781,            0.070352,            0.034168,            0.025533,            0.051525,            0.002525,            0.002525
                  52,             0.06568,            0.038082,            0.026135,             0.42154,                0.66,             0.54233,             0.21894,            0.059459,            0.034258,            0.025433,            0.050523,            0.002523,            0.002523
                  53,            0.057733,            0.036934,            0.025939,             0.42154,                0.66,             0.54233,             0.21894,            0.059459,            0.034258,            0.025433,            0.049519,           0.0025191,           0.0025191
                  54,            0.060853,            0.039017,            0.026078,             0.48363,                0.64,             0.53592,               0.217,            0.069053,            0.030839,            0.025588,            0.048513,           0.0025132,           0.0025132
                  55,             0.06138,            0.034652,            0.025704,             0.48363,                0.64,             0.53592,               0.217,            0.069053,            0.030839,            0.025588,            0.047505,           0.0025053,           0.0025053
                  56,            0.064135,             0.03632,            0.025886,              0.4658,                0.62,             0.55773,             0.23449,            0.054225,            0.033199,            0.025331,            0.046495,           0.0024954,           0.0024954
                  57,            0.061299,            0.038797,            0.025658,              0.4658,                0.62,             0.55773,             0.23449,            0.054225,            0.033199,            0.025331,            0.045483,           0.0024835,           0.0024835
                  58,            0.057392,            0.034785,            0.025866,             0.51002,             0.61392,             0.56452,             0.24632,            0.066606,            0.029121,            0.025534,             0.04447,           0.0024696,           0.0024696
                  59,             0.06168,            0.040219,            0.025396,             0.51002,             0.61392,             0.56452,             0.24632,            0.066606,            0.029121,            0.025534,            0.043454,           0.0024538,           0.0024538
                  60,            0.056959,             0.03101,            0.025786,             0.49658,                 0.7,             0.60314,             0.24938,            0.056899,            0.030299,            0.025237,            0.042436,            0.002436,            0.002436
                  61,            0.060546,            0.040183,            0.025616,             0.49658,                 0.7,             0.60314,             0.24938,            0.056899,            0.030299,            0.025237,            0.041416,           0.0024162,           0.0024162
                  62,            0.058247,             0.03497,            0.025642,             0.54148,                 0.6,             0.53845,             0.18181,            0.062068,            0.028642,            0.025272,            0.040394,           0.0023944,           0.0023944
                  63,            0.056459,            0.030167,            0.025412,             0.54148,                 0.6,             0.53845,             0.18181,            0.062068,            0.028642,            0.025272,            0.039371,           0.0023707,           0.0023707
                  64,            0.055896,            0.035042,            0.025666,             0.53627,                0.82,             0.63254,             0.23578,            0.052555,            0.029904,            0.025085,            0.038345,            0.002345,            0.002345
                  65,            0.059023,             0.03494,            0.025566,             0.53627,                0.82,             0.63254,             0.23578,            0.052555,            0.029904,            0.025085,            0.037317,           0.0023172,           0.0023172
                  66,            0.053703,            0.030359,            0.025178,             0.54106,             0.72727,              0.5817,             0.25671,            0.061615,            0.026687,            0.024962,            0.036288,           0.0022876,           0.0022876
                  67,            0.054599,            0.032879,             0.02545,             0.54106,             0.72727,              0.5817,             0.25671,            0.061615,            0.026687,            0.024962,            0.035256,           0.0022559,           0.0022559
                  68,            0.056332,            0.035009,            0.025283,             0.53191,             0.75723,             0.61672,             0.26696,            0.048709,            0.028964,            0.024853,            0.034222,           0.0022222,           0.0022222
                  69,            0.056044,            0.032063,            0.025251,             0.53191,             0.75723,             0.61672,             0.26696,            0.048709,            0.028964,            0.024853,            0.033187,           0.0021866,           0.0021866
                  70,            0.051743,            0.030653,            0.025551,             0.41349,                0.64,             0.51675,             0.22848,            0.056879,            0.025747,            0.024831,            0.032149,            0.002149,            0.002149
                  71,            0.053346,            0.030499,            0.025335,             0.41349,                0.64,             0.51675,             0.22848,            0.056879,            0.025747,            0.024831,            0.031109,           0.0021094,           0.0021094
                  72,             0.05037,            0.033158,            0.025286,             0.47486,                0.76,             0.56224,             0.23719,            0.050914,            0.026984,            0.024778,            0.030068,           0.0020678,           0.0020678
                  73,            0.054538,                0.03,            0.025235,             0.47486,                0.76,             0.56224,             0.23719,            0.050914,            0.026984,            0.024778,            0.029024,           0.0020243,           0.0020243
                  74,            0.053094,            0.031498,            0.025377,             0.41562,             0.69569,             0.54721,             0.26451,            0.049215,            0.026417,            0.024777,            0.027979,           0.0019788,           0.0019788
                  75,            0.049686,            0.030872,            0.025028,             0.41562,             0.69569,             0.54721,             0.26451,            0.049215,            0.026417,            0.024777,            0.026931,           0.0019313,           0.0019313
                  76,            0.047761,            0.028412,            0.025287,             0.44268,             0.77735,             0.54239,             0.22052,            0.049267,            0.026136,            0.024779,            0.025882,           0.0018818,           0.0018818
                  77,            0.052903,            0.031454,            0.025141,             0.44268,             0.77735,             0.54239,             0.22052,            0.049267,            0.026136,            0.024779,             0.02483,           0.0018303,           0.0018303
                  78,            0.049671,            0.032787,            0.025089,             0.41264,             0.76338,             0.56958,             0.31818,            0.047327,            0.026111,            0.024797,            0.023777,           0.0017768,           0.0017768
                  79,            0.046582,            0.031698,            0.025053,             0.41264,             0.76338,             0.56958,             0.31818,            0.047327,            0.026111,            0.024797,            0.022721,           0.0017214,           0.0017214
                  80,            0.048085,            0.029081,            0.024837,             0.44906,                0.74,             0.56334,             0.26028,            0.046244,            0.026233,            0.024742,            0.021664,            0.001664,            0.001664
                  81,            0.047201,            0.029213,            0.025014,             0.44906,                0.74,             0.56334,             0.26028,            0.046244,            0.026233,            0.024742,            0.020605,           0.0016046,           0.0016046
                  82,            0.046135,            0.027806,            0.024986,             0.46246,                0.88,             0.62194,             0.33723,            0.041282,            0.026309,            0.024708,            0.019543,           0.0015432,           0.0015432
                  83,            0.042703,            0.029366,            0.024994,             0.46246,                0.88,             0.62194,             0.33723,            0.041282,            0.026309,            0.024708,             0.01848,           0.0014799,           0.0014799
                  84,            0.041525,            0.026633,            0.025287,              0.5017,                0.88,             0.66168,             0.33564,            0.046916,            0.024889,            0.024663,            0.017415,           0.0014146,           0.0014146
                  85,            0.045585,            0.027977,            0.024735,              0.5017,                0.88,             0.66168,             0.33564,            0.046916,            0.024889,            0.024663,            0.016347,           0.0013473,           0.0013473
                  86,            0.044114,            0.030398,            0.024846,             0.48725,             0.85129,             0.66969,             0.36923,            0.037709,            0.025773,             0.02465,            0.015278,            0.001278,            0.001278
                  87,             0.04635,             0.02642,            0.024917,             0.48725,             0.85129,             0.66969,             0.36923,            0.037709,            0.025773,             0.02465,            0.014207,           0.0012067,           0.0012067
                  88,            0.045852,            0.028574,             0.02496,             0.47818,                0.84,             0.67567,             0.35494,            0.043273,            0.025016,            0.024676,            0.013133,           0.0011334,           0.0011334
                  89,            0.039271,             0.02993,            0.024752,             0.47818,                0.84,             0.67567,             0.35494,            0.043273,            0.025016,            0.024676,            0.012058,           0.0010582,           0.0010582
                  90,             0.04005,            0.029559,            0.025023,             0.43034,             0.84507,             0.65661,             0.32454,            0.038297,            0.025329,             0.02467,            0.010981,            0.000981,            0.000981
                  91,            0.038879,             0.02849,            0.024546,             0.43034,             0.84507,             0.65661,             0.32454,            0.038297,            0.025329,             0.02467,           0.0099018,          0.00090181,          0.00090181
                  92,             0.04129,            0.026929,            0.025013,             0.50582,                0.92,             0.69878,             0.34215,             0.03778,            0.025427,            0.024703,           0.0088206,          0.00082064,          0.00082064
                  93,            0.039041,             0.02905,            0.024803,             0.50582,                0.92,             0.69878,             0.34215,             0.03778,            0.025427,            0.024703,           0.0077375,          0.00073749,          0.00073749
                  94,            0.038841,            0.028233,             0.02482,             0.49118,             0.93346,             0.70185,               0.376,             0.03632,            0.024718,            0.024678,           0.0066524,          0.00065236,          0.00065236
                  95,            0.035716,             0.02439,            0.024843,             0.49118,             0.93346,             0.70185,               0.376,             0.03632,            0.024718,            0.024678,           0.0055653,          0.00056525,          0.00056525
                  96,            0.038593,            0.032282,            0.024542,             0.49514,                0.94,             0.70491,             0.42087,            0.039626,            0.024176,            0.024704,           0.0044762,          0.00047616,          0.00047616
                  97,            0.038917,             0.03118,            0.025164,             0.49514,                0.94,             0.70491,             0.42087,            0.039626,            0.024176,            0.024704,           0.0033851,          0.00038509,          0.00038509
                  98,            0.038442,            0.028339,            0.024736,             0.49514,                0.94,             0.70491,             0.42087,            0.039626,            0.024176,            0.024704,            0.002292,          0.00029204,          0.00029204
                  99,            0.036336,            0.028605,            0.024766,             0.49308,                0.94,             0.69445,             0.41707,            0.036804,             0.02453,            0.024702,            0.001197,          0.00019701,          0.00019701
